binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Cupania zanthoxyloides,Sapindaceae,Cupania zanthoxyloides Radlk.,tree,confirmed,113,NA,93.44,near_endemic,Endemic,101,5,,,,,,,,,,,2
Curatella americana,Dilleniaceae,Curatella americana L.,tree,confirmed,2765,NA,4.47,occasional,Not endemic,248,1731,,,,timber,yes,,,,,,2
Cyathea atrocastanea,Cyatheaceae,Cyathea atrocastanea Labiack P.E. et Matos F.B.,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,2
Cyathea corcovadensis,Cyatheaceae,Cyathea corcovadensis (Raddi) Domin,tree,confirmed,470,NA,96.09,near_endemic,Endemic,381,7,,,,,,,,,,,2
Cyathea delgadii,Cyatheaceae,Cyathea delgadii Sternb.,tree,confirmed,791,NA,50.97,widespread,Not endemic,291,316,en_peligro,,,,,,,,,,2
Cyathea dichromatolepis,Cyatheaceae,Cyathea dichromatolepis (Fee) Domin,tree,confirmed,120,NA,99.33,near_endemic,Endemic,82,0,,,,,,,,,,,2
Cyathea feeana,Cyatheaceae,Cyathea feeana (C.Chr.) Domin,tree,confirmed,43,NA,100.0,pure_endemic,Endemic,40,0,,,,,,,,,,,2
Cyathea gardneri,Cyatheaceae,Cyathea gardneri Hook.,tree,confirmed,114,NA,89.86,near_endemic,Endemic,67,5,,,,,,,,,,,2
Cyathea glaziovii,Cyatheaceae,Cyathea glaziovii (Fee) Domin,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,38,0,,,,,,,,,,,2
Cyathea hirsuta,Cyatheaceae,Cyathea hirsuta C.Presl,tree,confirmed,93,NA,100.0,pure_endemic,Endemic,80,0,,,,,,,,,,,2
Cyathea leucofolis,Cyatheaceae,Cyathea leucofolis Domin,shrub,confirmed,131,NA,99.47,near_endemic,Endemic,102,0,,,,,,,,,,,2
Cyathea macrocarpa,Cyatheaceae,Cyathea macrocarpa (C.Presl) Domin,tree,confirmed,13,NA,100.0,pure_endemic,Not endemic,4,0,,,,,,,,,,,2
Cyathea praecincta,Cyatheaceae,Cyathea praecincta (Kunze) Domin,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,26,0,,,,,,,,,,,2
Cyathea rufa,Cyatheaceae,Cyathea rufa (Fee) Lellinger,tree,confirmed,47,NA,95.95,near_endemic,Endemic,40,1,,,,,,,,,,,2
Cybianthus bahiensis,Primulaceae,Cybianthus bahiensis G.Agostini,tree,new to AF,8,NA,100.0,pure_endemic,Not in the AF,6,0,,,,,,,,,,,2
Cybianthus brasiliensis,Primulaceae,Cybianthus brasiliensis (Mez) G.Agostini,tree,confirmed,137,NA,95.43,near_endemic,Not endemic,110,4,,,,,,,,,,,2
Cybianthus membranaceus,Primulaceae,"Cybianthus membranaceus Jung-Mend., Bernacci & M.F.Freitas",tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,2
Cybianthus oblongifolius,Primulaceae,Cybianthus oblongifolius (A.DC.) G.Agostini,shrub,confirmed,18,NA,100.0,pure_endemic,Not endemic,12,0,,,,,,,,,,,2
Cybianthus verticilatus,Primulaceae,Cybianthus verticilatus (Vell.) G.Agostini,shrub,confirmed,16,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,2
Cyclolepis genistoides,,Cyclolepis genistoides,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
Daphnopsis coriacea,Thymelaeaceae,Daphnopsis coriacea Taub.,tree,confirmed,55,NA,97.14,near_endemic,Not endemic,41,0,,,,,,,,,,,2
Daphnopsis fasciculata,Thymelaeaceae,Daphnopsis fasciculata (Meisn.) Nevling,tree,confirmed,317,NA,99.13,near_endemic,Not endemic,264,2,,,,,,,,,,,2
Daphnopsis martii,Thymelaeaceae,Daphnopsis martii Meisn.,tree,confirmed,95,NA,98.77,near_endemic,Endemic,87,1,,,,,,,,,,,2
Daphnopsis pseudosalix,Thymelaeaceae,Daphnopsis pseudosalix Domke,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,18,0,,,,,,,,,,,2
Daphnopsis schwackeana,Thymelaeaceae,Daphnopsis schwackeana Taub.,tree,confirmed,98,NA,100.0,pure_endemic,Endemic,93,0,,,,,,,,,,,2
Daphnopsis sellowiana,Thymelaeaceae,Daphnopsis sellowiana Taub.,tree,confirmed,83,NA,98.21,near_endemic,Endemic,65,1,,,,,,,,,,,2
Dasycondylus resinosus,Asteraceae,Dasycondylus resinosus (Spreng.) R.M.King & H.Rob.,shrub,confirmed,101,NA,99.16,near_endemic,Endemic,59,0,,,,,,,,,,,2
Dasyphyllum spinescens,Asteraceae,Dasyphyllum spinescens (Less.) Cabrera,tree,confirmed,132,NA,94.76,near_endemic,Endemic,103,4,,,,,,,,,,,2
Dendropanax amorimii,Araliaceae,Dendropanax amorimii Fiaschi,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,,2
Dendropanax australis,Araliaceae,Dendropanax australis Fiaschi & Jung-Mend.,shrub,confirmed,114,NA,100.0,pure_endemic,Endemic,111,0,,,,,,,,,,,2
Dendropanax bahiensis,Araliaceae,Dendropanax bahiensis Fiaschi,shrub,confirmed,15,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,2
Dendropanax brasiliensis,Araliaceae,Dendropanax brasiliensis (Seem.) Frodin,tree,confirmed,29,NA,91.49,near_endemic,Endemic,21,2,,,,,,,,,,,2
Dendropanax caudatus,Araliaceae,Dendropanax caudatus Fiaschi,shrub,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,2
Dendropanax cuneatus,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,tree,confirmed,563,NA,52.85,widespread,Not endemic,236,164,,,,timber,yes,,,,,,2
Dendropanax denticulatus,Araliaceae,Dendropanax denticulatus Fiaschi,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,2
Dendropanax geniculatus,Araliaceae,Dendropanax geniculatus Fiaschi,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,2
Dendropanax heterophyllus,Araliaceae,Dendropanax heterophyllus (Marchal) Frodin,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,2
Dendropanax langsdorfii,Araliaceae,Dendropanax langsdorfii (Marchal) Frodin,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,29,0,,,,,,,,,,,2
Dendropanax monogynus,Araliaceae,Dendropanax monogynus (Vell.) Seem.,shrub,confirmed,89,NA,100.0,pure_endemic,Endemic,86,0,,,,,,,,,,,2
Dendropanax nebulosus,Araliaceae,Dendropanax nebulosus Fiaschi & Jung-Mend.,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,2
Dendropanax trilobus,Araliaceae,Dendropanax trilobus (Gardner) Seem.,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,,2
Dendrophorbium glaziovii,Asteraceae,Dendrophorbium glaziovii (Baker) C.Jeffrey,tree,confirmed,31,NA,100.0,pure_endemic,Not endemic,20,0,,,,,,,,,,,2
Dendrophorbium pluricephalum,Asteraceae,Dendrophorbium pluricephalum (Cabrera) C.Jeffrey,shrub,confirmed,28,NA,93.33,near_endemic,Not endemic,20,1,,,,,,,,,,,2
Dicksonia sellowiana,Dicksoniaceae,Dicksonia sellowiana Hook.,tree,confirmed,1455,NA,44.75,widespread,Endemic,499,429,,Endangered,,fibres,yes,,,,,,2
Diospyros amabi,Ebenaceae,Diospyros amabi B.Walln.,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,2
Diospyros apeibacarpos,Ebenaceae,Diospyros apeibacarpos Raddi,tree,confirmed,36,NA,100.0,pure_endemic,Endemic,36,0,,,,,,,,,,,2
Diospyros brasiliensis,Ebenaceae,Diospyros brasiliensis Mart. ex Miq.,tree,confirmed,34,NA,100.0,pure_endemic,Endemic,31,3,,,,,,,,,,,2
Diospyros gaultheriifolia,Ebenaceae,Diospyros gaultheriifolia Mart. ex Miq.,tree,confirmed,45,NA,100.0,pure_endemic,Endemic,44,0,,,,,,,,,,,2
Diospyros riedelii,Ebenaceae,Diospyros riedelii (Hiern) B.Walln.,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,2
Diospyros scottmorii,Ebenaceae,Diospyros scottmorii B.Walln.,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,2
Diospyros ubaita,Ebenaceae,Diospyros ubaita B.Walln.,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,2
Discocactus heptacanthus,,Discocactus heptacanthus,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,,2
Discocarpus pedicellatus,Phyllanthaceae,Discocarpus pedicellatus Fiaschi & Cordeiro,tree,confirmed,21,NA,100.0,pure_endemic,Endemic,21,0,,,,,,,,,,,2
Dodonaea viscosa,Sapindaceae,Dodonaea viscosa Jacq.,tree,confirmed,7675,NA,12.39,widespread,Not endemic,502,3234,,,,medicinal | timber,yes,,,,,,2
Doliocarpus sellowianus,Dilleniaceae,Doliocarpus sellowianus Eichler,shrub,confirmed,38,NA,100.0,pure_endemic,Endemic,36,0,,,,,,,,,,,2
Drypetes sessiliflora,Putranjivaceae,Drypetes sessiliflora Allemao,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,,2
Dulacia singularis,Olacaceae,Dulacia singularis Vell.,tree,confirmed,21,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,2
Duranta vestita,Verbenaceae,Duranta vestita Cham.,tree,confirmed,84,NA,93.33,near_endemic,Endemic,76,1,,,,,,,,,,,2
Dyssochroma viridiflorum,Solanaceae,Dyssochroma viridiflorum (Sims) Miers,shrub,confirmed,117,NA,98.32,near_endemic,Endemic,102,0,,,,,,,,,,,2
Elvasia capixaba,Ochnaceae,Elvasia capixaba Fraga & Saavedra,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,2
Elvasia gigantifolia,Ochnaceae,Elvasia gigantifolia Fraga & Saavedra,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,2
Elvasia kollmannii,Ochnaceae,Elvasia kollmannii Fraga & Saavedra,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,2
Elvasia tricarpellata,Ochnaceae,Elvasia tricarpellata Sastre,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,2
Emmotum harleyi,Metteniusaceae,Emmotum harleyi R.Duno,tree,new to AF,41,NA,93.33,near_endemic,Not in the AF,9,0,,,,,,,,,,,2
Equisetum giganteum,,Equisetum giganteum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,,2
Eremanthus ovatifolius,Asteraceae,Eremanthus ovatifolius Loeuille & Pirani,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,2
Eremanthus praetermissus,Asteraceae,Eremanthus praetermissus Loeuille & Pirani,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,,2
Eremocaulon asymmetricum,Poaceae,Eremocaulon asymmetricum (Soderstr. & Londono) Londono,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,2
Eremocaulon aureofimbriatum,Poaceae,Eremocaulon aureofimbriatum Soderstr. & Londono,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,,2
Eriotheca bahiensis,Malvaceae,Eriotheca bahiensis M.C. Duarte & G.L. Esteves,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,2
Eriotheca dolichopoda,Malvaceae,Eriotheca dolichopoda A.Robyns,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,2
Eriotheca globosa,Malvaceae,Eriotheca globosa (Aubl.) A.Robyns,tree,new to AF,134,NA,8.38,occasional,Not in the AF,10,111,,,,timber,yes,,,,,,2
Eriotheca longipes,Malvaceae,Eriotheca longipes (A. Robyns) M.C. Duarte & G.L. Esteves,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,2
Eriotheca macrophylla,Malvaceae,Eriotheca macrophylla (K.Schum.) A.Robyns,tree,confirmed,104,NA,93.2,near_endemic,Endemic,71,13,,,,,,,,,,,2
Eriotheca obcordata,Malvaceae,Eriotheca obcordata A.Robyns,tree,confirmed,17,NA,96.67,near_endemic,Endemic,15,0,,,,,,,,,,,2
Eriotheca pentaphylla,Malvaceae,Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns,tree,confirmed,62,NA,100.0,pure_endemic,Endemic,59,0,,,,,,,,,,,2
Eriotheca saxicola,Malvaceae,Eriotheca saxicola Carv.-Sobr.,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,2
Erythrina fusca,Fabaceae,Erythrina fusca Lour.,tree,new to AF,351,NA,22.6,widespread,Not in the AF,52,175,,,,fences | fodder | food | fuel | medicinal | ornamental | poison,,,,,,,2
Erythrina poeppigiana,Fabaceae,Erythrina poeppigiana (Walp.) O.F.Cook,tree,new to AF,189,NA,16.44,widespread,Not in the AF,19,109,,,,fodder | fuel,,,,,,,2
Erythrina speciosa,Fabaceae,Erythrina speciosa Andrews,tree,confirmed,419,cultivated,87.87,widespread,Not endemic,288,40,,,,medicinal | ornamental,,,,,,,2
Erythrina verna,Fabaceae,Erythrina verna Vell.,tree,confirmed,141,NA,82.03,widespread,Not endemic,91,22,,,,medicinal,,,,,,,2
Erythrodes kuczynskii,,Erythrodes kuczynskii,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
Erythroxylum ambiguum,Erythroxylaceae,Erythroxylum ambiguum Peyr.,tree,confirmed,107,NA,98.2,near_endemic,Endemic,96,0,,,,,,,,,,,2
Erythroxylum andrei,Erythroxylaceae,Erythroxylum andrei Plowman,tree,confirmed,34,NA,100.0,pure_endemic,Endemic,33,0,,,,,,,,,,,2
Erythroxylum cincinnatum,Erythroxylaceae,Erythroxylum cincinnatum Mart.,shrub,confirmed,29,NA,100.0,pure_endemic,Endemic,25,0,,,,,,,,,,,2
Erythroxylum coelophlebium,Erythroxylaceae,Erythroxylum coelophlebium Mart.,tree,confirmed,48,NA,100.0,pure_endemic,Endemic,42,0,,,,,,,,,,,2
Erythroxylum compressum,Erythroxylaceae,Erythroxylum compressum Peyr.,shrub,confirmed,12,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,2
Erythroxylum cuspidifolium,Erythroxylaceae,Erythroxylum cuspidifolium Mart.,tree,confirmed,232,NA,100.0,pure_endemic,Endemic,189,1,,,,,,,,,,,2
Erythroxylum distortum,Erythroxylaceae,Erythroxylum distortum Mart.,shrub,confirmed,32,NA,100.0,pure_endemic,Endemic,14,1,,,,,,,,,,,2
Erythroxylum ectinocalyx,Erythroxylaceae,Erythroxylum ectinocalyx Mart.,shrub,confirmed,40,NA,100.0,pure_endemic,Endemic,40,0,,,,,,,,,,,2
Erythroxylum frangulifolium,Erythroxylaceae,Erythroxylum frangulifolium A.St.-Hil.,tree,confirmed,58,NA,100.0,pure_endemic,Endemic,46,0,,,,,,,,,,,2
Erythroxylum gaudichaudii,Erythroxylaceae,Erythroxylum gaudichaudii Peyr.,tree,confirmed,28,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,,2
Erythroxylum glazioui,Erythroxylaceae,Erythroxylum glazioui O.E.Schulz,shrub,confirmed,15,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,2
Erythroxylum gonoclados,Erythroxylaceae,Erythroxylum gonoclados (Mart.) O.E.Schulz,shrub,new to AF,125,NA,88.81,near_endemic,NA,72,7,,,,,,,,,,,2
Erythroxylum grandifolium,Erythroxylaceae,Erythroxylum grandifolium Peyr.,tree,confirmed,20,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,,2
Erythroxylum hamigerum,Erythroxylaceae,Erythroxylum hamigerum O.E.Schulz,tree,confirmed,60,NA,97.56,near_endemic,Endemic,40,1,,,,,,,,,,,2
Erythroxylum leal-costae,Erythroxylaceae,Erythroxylum leal-costae Plowman,shrub,confirmed,10,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,,2
Erythroxylum magnoliifolium,Erythroxylaceae,Erythroxylum magnoliifolium A.St.-Hil.,shrub,confirmed,15,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,2
Erythroxylum martii,Erythroxylaceae,Erythroxylum martii Peyr.,shrub,confirmed,81,NA,100.0,pure_endemic,Endemic,57,0,,,,,,,,,,,2
Erythroxylum mattos-silvae,Erythroxylaceae,Erythroxylum mattos-silvae Plowman,tree,confirmed,48,NA,100.0,pure_endemic,Endemic,47,0,,,,,,,,,,,2
Erythroxylum membranaceum,Erythroxylaceae,Erythroxylum membranaceum Plowman,shrub,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,2
Erythroxylum mikanii,Erythroxylaceae,Erythroxylum mikanii Peyr.,shrub,confirmed,63,NA,94.78,near_endemic,Endemic,59,3,,,,,,,,,,,2
Erythroxylum myrsinites,Erythroxylaceae,Erythroxylum myrsinites Mart.,shrub,confirmed,183,NA,92.0,near_endemic,Endemic,110,30,,,,,,,,,,,2
Erythroxylum nitidum,Erythroxylaceae,Erythroxylum nitidum Spreng.,tree,confirmed,24,NA,95.65,near_endemic,Endemic,11,0,,,,,,,,,,,2
Erythroxylum nobile,Erythroxylaceae,Erythroxylum nobile O.E.Schulz,tree,confirmed,148,NA,99.53,near_endemic,Endemic,111,0,,,,,,,,,,,2
Erythroxylum occultum,Erythroxylaceae,Erythroxylum occultum Plowman,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,2
Erythroxylum ochranthum,Erythroxylaceae,Erythroxylum ochranthum Mart.,tree,confirmed,30,NA,96.55,near_endemic,Endemic,28,0,,,,,,,,,,,2
Erythroxylum ovalifolium,Erythroxylaceae,Erythroxylum ovalifolium Peyr.,tree,confirmed,74,NA,100.0,pure_endemic,Endemic,72,0,,,,,,,,,,,2
Erythroxylum passerinum,Erythroxylaceae,Erythroxylum passerinum Mart.,tree,confirmed,393,NA,96.24,near_endemic,Endemic,345,7,,,,,,,,,,,2
Erythroxylum petrae-caballi,Erythroxylaceae,Erythroxylum petrae-caballi Plowman,tree,confirmed,16,NA,100.0,pure_endemic,Not endemic,11,0,,,,,,,,,,,2
Erythroxylum sobraleanum,Erythroxylaceae,Erythroxylum sobraleanum Loiola & L.S.Cordeiro,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,2
Erythroxylum splendidum,Erythroxylaceae,Erythroxylum splendidum Plowman,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,2
Erythroxylum tenue,Erythroxylaceae,Erythroxylum tenue Plowman,shrub,confirmed,58,NA,100.0,pure_endemic,Endemic,49,0,,,,,,,,,,,2
Erythroxylum umbrosum,Erythroxylaceae,Erythroxylum umbrosum Costa-Lima & M.Alves,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,2
Escallonia bifida,Escalloniaceae,Escallonia bifida Link & Otto,tree,confirmed,299,NA,97.01,near_endemic,Not endemic,202,22,,,,,,,,,,,2
Escallonia hispida,Escalloniaceae,Escallonia hispida (Vell.) Sleumer,shrub,confirmed,23,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,2
Escallonia petrophila,Escalloniaceae,Escallonia petrophila Rambo & Sleumer,shrub,confirmed,18,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,,2
Eschweilera alvimii,Lecythidaceae,Eschweilera alvimii S.A.Mori,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,24,0,,,,,,,,,,,2
Eschweilera complanata,Lecythidaceae,Eschweilera complanata S.A.Mori,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,,2
Eschweilera compressa,Lecythidaceae,Eschweilera compressa (Vell.) Miers,tree,confirmed,53,NA,100.0,pure_endemic,Endemic,36,1,,,,,,,,,,,2
Eschweilera mattos-silvae,Lecythidaceae,Eschweilera mattos-silvae S.A.Mori,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,2
Eschweilera tetrapetala,Lecythidaceae,Eschweilera tetrapetala S.A.Mori,tree,confirmed,22,NA,93.55,near_endemic,Endemic,14,0,,,,,,,,,,,2
Escobedia grandiflora,,Escobedia grandiflora,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,,2
Esenbeckia hieronymi,Rutaceae,Esenbeckia hieronymi Engl.,tree,confirmed,25,NA,100.0,pure_endemic,Not endemic,24,0,,,,,,,,,,,2
Eugenia dysenterica,Myrtaceae,Eugenia dysenterica (Mart.) DC.,tree,confirmed,322,NA,5.26,occasional,Not endemic,6,223,,,,food,,,,,,,2
Eugenia involucrata,Myrtaceae,Eugenia involucrata DC.,tree,confirmed,764,NA,37.62,widespread,Not endemic,261,355,,,,food,,,,,,,2
Eugenia klotzschiana,Myrtaceae,Eugenia klotzschiana O.Berg,shrub,confirmed,69,NA,16.82,widespread,Not endemic,9,45,,,,food,,,,,,,2
Eugenia puriflora,,Eugenia puriflora,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
Eugenia stipitata,Myrtaceae,Eugenia stipitata McVaugh,tree,new to AF,60,NA,7.55,occasional,Not in the AF,3,38,,,,food | ornamental,,,,,,,2
Euplassa cantareirae,Proteaceae,Euplassa cantareirae Sleumer,tree,confirmed,31,NA,100.0,pure_endemic,Endemic,27,0,,,,,,,,,,,2
Euplassa hoehnei,Proteaceae,Euplassa hoehnei Sleumer,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,2
Euplassa itatiaiae,Proteaceae,Euplassa itatiaiae Sleumer,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,2
Euplassa legalis,Proteaceae,Euplassa legalis (Vell.) I.M.Johnst.,tree,confirmed,41,NA,96.97,near_endemic,Not endemic,32,0,,,,,,,,,,,2
Euplassa nebularis,Proteaceae,Euplassa nebularis Rambo & Sleumer,tree,confirmed,21,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,,2
Euplassa organensis,Proteaceae,Euplassa organensis (Gardner) I.M.Johnst.,tree,confirmed,32,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,2
Euplassa taubertiana,Proteaceae,Euplassa taubertiana K.Schum.,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,2
Exellodendron gracile,Chrysobalanaceae,Exellodendron gracile (Kuhlm.) Prance,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,2
Fosterella rojasii,,Fosterella rojasii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,,2
Frailea cataphracta,,Frailea cataphracta,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,,2
Frailea grahliana,,Frailea grahliana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
Freziera atlantica,Pentaphylacaceae,Freziera atlantica Zorzan. & Amorim,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,2
Funifera brasiliensis,Thymelaeaceae,Funifera brasiliensis (Raddi) Mansf.,tree,confirmed,86,NA,100.0,pure_endemic,Endemic,74,0,,,,,,,,,,,2
Funifera grandifolia,Thymelaeaceae,Funifera grandifolia Domke,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,,2
Galipea carinata,Rutaceae,Galipea carinata Pirani,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,2
Galipea laxiflora,Rutaceae,Galipea laxiflora Engl.,tree,confirmed,42,NA,100.0,pure_endemic,Endemic,38,0,,,,,,,,,,,2
Galipea revoluta,Rutaceae,Galipea revoluta Pirani,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,2
Gaultheria eriophylla,Ericaceae,Gaultheria eriophylla (Pers.) Sleumer ex Burtt,shrub,confirmed,96,NA,97.16,near_endemic,Not endemic,87,1,,,,,,,,,,,2
Gaultheria itatiaiae,Ericaceae,Gaultheria itatiaiae Wawra,shrub,confirmed,103,NA,98.53,near_endemic,Endemic,90,1,,,,,,,,,,,2
Gaylussacia rhododendron,Ericaceae,Gaylussacia rhododendron Cham. & Schltdl.,shrub,confirmed,25,NA,93.75,near_endemic,Endemic,15,0,,,,,,,,,,,2
Glycydendron espiritosantense,Euphorbiaceae,Glycydendron espiritosantense Kuhlm.,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,2
Gonatogyne brasiliensis,Phyllanthaceae,Gonatogyne brasiliensis (Baill.) Mull.Arg.,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,39,0,,,,,,,,,,,2
Guadua calderoniana,Poaceae,Guadua calderoniana Londono & Judz.,tree,confirmed,15,NA,100.0,pure_endemic,Not endemic,15,0,,,,,,,,,,,2
Guadua tagoara,Poaceae,Guadua tagoara (Nees) Kunth,tree,confirmed,113,NA,95.39,near_endemic,Not endemic,79,3,,,,,,,,,,,2
Guapira nitida,Nyctaginaceae,Guapira nitida (Mart. ex J.A.Schmidt) Lundell,tree,confirmed,134,NA,97.98,near_endemic,Endemic,104,2,,,,,,,,,,,2
Guapira opposita,Nyctaginaceae,Guapira opposita (Vell.) Reitz,tree,confirmed,1798,NA,90.58,near_endemic,Not endemic,1449,126,,,,,,,,,,,2
Guapira pernambucensis,Nyctaginaceae,Guapira pernambucensis (Casar.) Lundell,shrub,confirmed,392,NA,98.37,near_endemic,Endemic,363,2,,,,,,,,,,,2
Guazuma ulmifolia,Malvaceae,Guazuma ulmifolia Lam.,tree,confirmed,1612,NA,16.63,widespread,Not endemic,196,817,,Endangered,,fibres | fodder | food | fuel | medicinal | timber,yes,,,,,,2
Gumnocalycium megatae,,Gumnocalycium megatae,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
Gymnanthes edwalliana,Euphorbiaceae,Gymnanthes edwalliana (Pax & K. Hoffm.) Esser & L.S. Oliveira,tree,confirmed,17,NA,90.91,near_endemic,Not endemic,14,1,,,,,,,,,,,2
Gymnanthes gaudichaudii,Euphorbiaceae,Gymnanthes gaudichaudii Mull.Arg.,tree,confirmed,62,NA,100.0,pure_endemic,Endemic,59,0,,,,,,,,,,,2
Gymnanthes multiramea,Euphorbiaceae,Gymnanthes multiramea (Klotzsch) Mull.Arg.,tree,confirmed,94,NA,100.0,pure_endemic,Endemic,92,0,,,,,,,,,,,2
Gymnocalycium denudatum,,Gymnocalycium denudatum,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
Gymnocalycium euryplerum,,Gymnocalycium euryplerum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,,2
Gymnocalycium marsoneri,,Gymnocalycium marsoneri,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,,2
